source,title,description,url,publishedAt
On The Banks,Rutgers vs Washington Recap + No.8 Oregon Preview w/ Gabe Pickup from VOCF,TBMR’s Rutgers vs Washington recap w/ Gabe Pickup from VOCF,https://www.onthebanks.com/podcasts/47507/rutgers-vs-washington-recap-no-8-oregon-preview-w-gabe-pickup-from-vocf,2025-10-13T23:52:34Z
New York Post,NYC Wine & Food Festival could boost struggling South Street Seaport,"Now in its 18th year, NYCWFF runs this Wednesday through Sunday and has an all-star lineup led by Jean-Georges Vongerichten.",https://nypost.com/2025/10/13/business/nyc-wine-amp-food-festival-could-boost-struggling-south-street-seaport/,2025-10-13T23:50:34Z
Breitbart News,Exclusive -- 'We Can Clean Up Our Streets Tomorrow': Rep. Gill Gives the Simple Solution to Solving Crime,"On Monday’s “Alex Marlow Show,” Rep. Brandon Gill (R-TX) talked about crime. Gill stated, “We can clean up our streets tomorrow, if we’re willing to actually lock up criminals and thugs who shouldn’t be on the streets to begin with.
The post Exclusive — ‘We C…",https://www.breitbart.com/clips/2025/10/13/exclusive-we-can-clean-up-our-streets-tomorrow-rep-gill-gives-the-simple-solution-to-solving-crime/,2025-10-13T23:48:02Z
Breitbart News,"Exclusive -- Rep. Gill: Yes, The Democrats Literally Shut the Government Down to Give Healthcare to Illegal Aliens","On Monday’s “Alex Marlow Show,” Rep. Brandon Gill (R-TX) talked about the government shutdown. Gill said that the funding deadline was known and Republicans wanted a clean continuing resolution to give themselves more time to pass budgets, and “Democrats resp…",https://www.breitbart.com/clips/2025/10/13/exclusive-rep-gill-yes-the-democrats-literally-shut-the-government-down-to-give-healthcare-to-illegal-aliens/,2025-10-13T23:48:00Z
Peanutbutterrunner.com,Weekend + Marathon Training Update,"Hello, hello! I hope it was a great weekend for y’all and that the new week is off to a great start. I’m popping in with a quick weekend recap and an update on marathon training before I head out to teach a hot sculpt class. I just went waaaay down the Instag…",https://www.peanutbutterrunner.com/weekend-marathon-training-update/,2025-10-13T23:36:54Z
Biztoc.com,Elon Musk Targets Hardware and Software With New Microsoft Competitor,"Elon Musk has set out an expansive brief for “Macrohard”, a platform initiative incubated within xAI that he says will span software and steer hardware ecosystems through partners, much like Apple.
In a post on X, Musk wrote the following:
“The @xAI MACROHARD…",https://biztoc.com/x/aab8b89bcb9f3156,2025-10-13T23:36:36Z
Finextra,Why Banks Should Reconsider Offering Rewards on Debit Card Purchases,"For many years, rewards programs have been synonymous with credit cards. From airline miles to cashb...",https://www.finextra.com/blogposting/29545/why-banks-should-reconsider-offering-rewards-on-debit-card-purchases,2025-10-13T23:33:26Z
Yahoo Entertainment,"Stock market today: S&P 500 and Dow rise, Nasdaq slides as US-China tensions simmer, big banks report","China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",https://finance.yahoo.com/news/live/stock-market-today-sp-500-and-dow-rise-nasdaq-slides-as-us-china-tensions-simmer-big-banks-report-233314867.html,2025-10-13T23:33:14Z
Yahoo Entertainment,"Stock market today: S&P 500, Nasdaq slide as US-China tensions simmer; Dow steadies as big banks report","China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",https://finance.yahoo.com/news/live/stock-market-today-sp-500-nasdaq-slide-as-us-china-tensions-simmer-dow-steadies-as-big-banks-report-233314488.html,2025-10-13T23:33:14Z
Yahoo Entertainment,"Stock market today: S&P 500 and Dow turn higher, Nasdaq dips with Fed's Powell, China tariff tensions in focus","China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",https://finance.yahoo.com/news/live/stock-market-today-sp-500-and-dow-turn-higher-nasdaq-dips-with-feds-powell-china-tariff-tensions-in-focus-233314697.html,2025-10-13T23:33:14Z
