source,title,description,url,publishedAt,text,sentiment_label,sentiment_score
Photorumors.com,OM System price increase in the US now in effect,"The OM System price increase in the US, resulting from the Trump tariffs, is now in effect (previously reported here and here). I don’t have a detailed list, but you can already see the new prices on Amazon and B&H Photo. Here are some screenshots comparing t…",https://photorumors.com/2025/10/13/om-system-price-increase-in-the-us-now-in-effect/,2025-10-13 23:52:09+00:00,"OM System price increase in the US now in effect. The OM System price increase in the US, resulting from the Trump tariffs, is now in effect (previously reported here and here). I don’t have a detailed list, but you can already see the new prices on Amazon and B&H Photo. Here are some screenshots comparing t…",Neutral,0.9999916553497314
Slickdeals.net,"Eukanuba Adult Chicken and Beef Canned Dog Food, 12-pack, Amazon S&S $16.15","Eukanuba Mixed Grill Chicken & Beef, 12.5 oz cans, 12-pack. Currently $34.09. Select coupon for 50% more off new Subscribe & Save orders with free Prime shipping. YMMV. May be targeted. My order was...",https://slickdeals.net/f/18697792-eukanuba-adult-chicken-and-beef-canned-dog-food-12-pack-amazon-s-s-16-15,2025-10-13 23:51:41+00:00,"Eukanuba Adult Chicken and Beef Canned Dog Food, 12-pack, Amazon S&S $16.15. Eukanuba Mixed Grill Chicken & Beef, 12.5 oz cans, 12-pack. Currently $34.09. Select coupon for 50% more off new Subscribe & Save orders with free Prime shipping. YMMV. May be targeted. My order was...",Neutral,0.9999974966049194
Ozbargain.com.au,Aliens: Another Glorious Day in The Corps Board Game $68 + Delivery ($0 with Prime/ $59 Spend) @ Amazon AU,"If Nemesis is not in your budget, then try the next best/cheapest alterative. Not ATL, but cheapest in 5 years.",https://www.ozbargain.com.au/node/928553,2025-10-13 23:51:28+00:00,"Aliens: Another Glorious Day in The Corps Board Game $68 + Delivery ($0 with Prime/ $59 Spend) @ Amazon AU. If Nemesis is not in your budget, then try the next best/cheapest alterative. Not ATL, but cheapest in 5 years.",Positive,0.8334125876426697
Pypi.org,amazon-braket-sdk 1.102.8,An open source library for interacting with quantum computing devices on Amazon Braket,https://pypi.org/project/amazon-braket-sdk/1.102.8/,2025-10-13 23:47:56+00:00,amazon-braket-sdk 1.102.8. An open source library for interacting with quantum computing devices on Amazon Braket,Neutral,0.9999977350234985
Slickdeals.net,5-Pairs Senker Fashion Women's Wool Socks $4.99 + Free Shipping w/ Prime or on $35+,Senker Fashion Inc. via Amazon [amazon.com] has *5-Pairs Senker Fashion Women's Wool Socks* *(Large)* on sale for $9.99 - 50% off when you enter the coupon code 3MQUUOIN =*$4.99*. Shipping is free w/...,https://slickdeals.net/f/18697786-5-pairs-senker-fashion-women-s-wool-socks-4-99-free-shipping-w-prime-or-on-35,2025-10-13 23:39:40+00:00,5-Pairs Senker Fashion Women's Wool Socks $4.99 + Free Shipping w/ Prime or on $35+. Senker Fashion Inc. via Amazon [amazon.com] has *5-Pairs Senker Fashion Women's Wool Socks* *(Large)* on sale for $9.99 - 50% off when you enter the coupon code 3MQUUOIN =*$4.99*. Shipping is free w/...,Neutral,0.999921441078186
Slickdeals.net,"CPKEON Stylus Pen w/ Palm Rejection (for iPad Pencil 10th Gen, White or Pink) $4.99 + Free Shipping w/ Prime or on $35+",CPKEON Direct via Amazon [amazon.com] has CPKEON Stylus Pen w/ Palm Rejection (for iPad Pencil 10th Gen) on sale for $9.99 - 50% off when you visit the promo code page to activate [amazon.com] (or app,https://slickdeals.net/f/18697783-cpkeon-stylus-pen-w-palm-rejection-for-ipad-pencil-10th-gen-white-or-pink-4-99-free-shipping-w-prime-or-on-35,2025-10-13 23:38:25+00:00,"CPKEON Stylus Pen w/ Palm Rejection (for iPad Pencil 10th Gen, White or Pink) $4.99 + Free Shipping w/ Prime or on $35+. CPKEON Direct via Amazon [amazon.com] has CPKEON Stylus Pen w/ Palm Rejection (for iPad Pencil 10th Gen) on sale for $9.99 - 50% off when you visit the promo code page to activate [amazon.com] (or app",Neutral,0.9999854564666748
Biztoc.com,Amazon is selling 'spectacular' noise-canceling headphones for just $60,"TheStreet aims to feature only the best products and services. If you buy something via one of our links, we may earn a commission.
Why we love this deal
If you missed out on some of the great deals at Amazon and Walmart last week, fear not — there are still …",https://biztoc.com/x/bf6396d200a6d9c5,2025-10-13 23:36:02+00:00,"Amazon is selling 'spectacular' noise-canceling headphones for just $60. TheStreet aims to feature only the best products and services. If you buy something via one of our links, we may earn a commission.
Why we love this deal
If you missed out on some of the great deals at Amazon and Walmart last week, fear not — there are still …",Neutral,0.9134295582771301
Pypi.org,amazon-braket-default-simulator 1.31.6,An open source quantum program simulator to be run locally with the Amazon Braket SDK,https://pypi.org/project/amazon-braket-default-simulator/1.31.6/,2025-10-13 23:33:17+00:00,amazon-braket-default-simulator 1.31.6. An open source quantum program simulator to be run locally with the Amazon Braket SDK,Neutral,0.9999774694442749
Yahoo Entertainment,"Stock market today: S&P 500 and Dow rise, Nasdaq slides as US-China tensions simmer, big banks report","China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",https://finance.yahoo.com/news/live/stock-market-today-sp-500-and-dow-rise-nasdaq-slides-as-us-china-tensions-simmer-big-banks-report-233314867.html,2025-10-13 23:33:14+00:00,"Stock market today: S&P 500 and Dow rise, Nasdaq slides as US-China tensions simmer, big banks report. China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",Positive,0.5187768340110779
Yahoo Entertainment,"Stock market today: S&P 500, Nasdaq slide as US-China tensions simmer; Dow steadies as big banks report","China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",https://finance.yahoo.com/news/live/stock-market-today-sp-500-nasdaq-slide-as-us-china-tensions-simmer-dow-steadies-as-big-banks-report-233314488.html,2025-10-13 23:33:14+00:00,"Stock market today: S&P 500, Nasdaq slide as US-China tensions simmer; Dow steadies as big banks report. China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",Positive,0.5228275060653687
