source,title,description,url,publishedAt,text,sentiment_label,sentiment_score
Yahoo Entertainment,"Stock market today: S&P 500 and Dow rise, Nasdaq slides as US-China tensions simmer, big banks report","China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",https://finance.yahoo.com/news/live/stock-market-today-sp-500-and-dow-rise-nasdaq-slides-as-us-china-tensions-simmer-big-banks-report-233314867.html,2025-10-13 23:33:14+00:00,"Stock market today: S&P 500 and Dow rise, Nasdaq slides as US-China tensions simmer, big banks report. China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",Positive,0.5187768340110779
Yahoo Entertainment,"Stock market today: S&P 500 and Dow turn higher, Nasdaq dips with Fed's Powell, China tariff tensions in focus","China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",https://finance.yahoo.com/news/live/stock-market-today-sp-500-and-dow-turn-higher-nasdaq-dips-with-feds-powell-china-tariff-tensions-in-focus-233314697.html,2025-10-13 23:33:14+00:00,"Stock market today: S&P 500 and Dow turn higher, Nasdaq dips with Fed's Powell, China tariff tensions in focus. China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",Negative,0.8812152743339539
Yahoo Entertainment,"Stock market today: S&P 500, Nasdaq slide as US-China tensions simmer; Dow steadies as big banks report","China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",https://finance.yahoo.com/news/live/stock-market-today-sp-500-nasdaq-slide-as-us-china-tensions-simmer-dow-steadies-as-big-banks-report-233314488.html,2025-10-13 23:33:14+00:00,"Stock market today: S&P 500, Nasdaq slide as US-China tensions simmer; Dow steadies as big banks report. China upped the ante in its trade spat with the US, rattling investors' nerves as big Wall Street banks kicked off earnings season.",Positive,0.5228275060653687
Yahoo Entertainment,"Did You Know, María Corina Machado, Who Thanked Trump After Receiving The Nobel Peace Prize, Is A Bitcoin Supporter","Venezuelan opposition leader María Corina Machado, who recently won the Nobel Peace Prize, has been a Bitcoin (CRYPTO: BTC) supporter, labeling it as a...",https://finance.yahoo.com/news/did-know-mar-corina-machado-233106122.html,2025-10-13 23:31:06+00:00,"Did You Know, María Corina Machado, Who Thanked Trump After Receiving The Nobel Peace Prize, Is A Bitcoin Supporter. Venezuelan opposition leader María Corina Machado, who recently won the Nobel Peace Prize, has been a Bitcoin (CRYPTO: BTC) supporter, labeling it as a...",Neutral,0.9924607872962952
Crikey,"As generative AI accelerates distrust, even Trump’s choice of tie can fuel conspiracy theories","The rise of artificial intelligence has seen the conversation surrounding media shift in recent years, and is helping fuel a new set of conspiracies across the political spectrum.
The post As generative AI accelerates distrust, even Trump’s choice of tie can …",http://www.crikey.com.au/2025/10/14/artificial-intelligence-conspiracy-theories-right-left/,2025-10-13 23:18:35+00:00,"As generative AI accelerates distrust, even Trump’s choice of tie can fuel conspiracy theories. The rise of artificial intelligence has seen the conversation surrounding media shift in recent years, and is helping fuel a new set of conspiracies across the political spectrum.
The post As generative AI accelerates distrust, even Trump’s choice of tie can …",Positive,0.8020493984222412
Electrek,US average new car price tops $50k for the first time – here’s why,"The average US new car price crossed the $50,000 mark for the first time in September, according to new estimates from Kelley Blue Book (KBB). Prices have been climbing steadily for over a year, and the pace picked up this summer – but that hasn’t stopped Ame…",http://electrek.co/2025/10/13/us-average-new-car-price-tops-50k-for-the-first-time/,2025-10-13 22:52:36+00:00,"US average new car price tops $50k for the first time – here’s why. The average US new car price crossed the $50,000 mark for the first time in September, according to new estimates from Kelley Blue Book (KBB). Prices have been climbing steadily for over a year, and the pace picked up this summer – but that hasn’t stopped Ame…",Positive,0.9701234698295593
TMZ,Richard Sherman Arrest Video Shows Ex-NFL Star Agitated With Cops,"New police video TMZ Sports has obtained shows Richard Sherman was agitated with cops during the night of his arrest last year. The footage was captured on a Washington State Patrol squad car camera back on February 24, 2024 ... after Sherman was…",https://www.tmz.com/2025/10/13/richard-sherman-arrest-video/,2025-10-13 22:12:59+00:00,"Richard Sherman Arrest Video Shows Ex-NFL Star Agitated With Cops. New police video TMZ Sports has obtained shows Richard Sherman was agitated with cops during the night of his arrest last year. The footage was captured on a Washington State Patrol squad car camera back on February 24, 2024 ... after Sherman was…",Neutral,0.9999967813491821
CNBC,Stock market today: Live updates,"Stocks fell Tuesday, resuming the selling seen late last week, as trade worries were reignited overnight by China.",https://www.cnbc.com/2025/10/13/stock-market-today-live-updates.html,2025-10-13 22:11:48+00:00,"Stock market today: Live updates. Stocks fell Tuesday, resuming the selling seen late last week, as trade worries were reignited overnight by China.",Negative,0.982526421546936
Biztoc.com,"Demand For Electric Pickup Trucks Soar In Q3, Except If You're Tesla","Tesla Inc (NASDAQ:TSLA) reported strong third-quarter deliveries that beat analyst estimates, but a new report shows one of its electric vehicles has seen demand fall significantly.
 • TSLA shares are climbing with conviction. Track the action here.
What Happ…",https://biztoc.com/x/3d933e1e588f89fd,2025-10-13 22:07:37+00:00,"Demand For Electric Pickup Trucks Soar In Q3, Except If You're Tesla. Tesla Inc (NASDAQ:TSLA) reported strong third-quarter deliveries that beat analyst estimates, but a new report shows one of its electric vehicles has seen demand fall significantly.
 • TSLA shares are climbing with conviction. Track the action here.
What Happ…",Positive,1.0
Biztoc.com,Tesla made a gamble with its latest price cuts. Will it pay off?,,https://biztoc.com/x/d38657b3ef60a0db,2025-10-13 21:34:28+00:00,Tesla made a gamble with its latest price cuts. Will it pay off?,Neutral,0.9022935032844543
